File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePivotTable.java,52,37,30,1,9,0,6,23,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePlanner.java,200,143,128,5,18,0,39,100,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeRadioGroup.java,72,58,51,1,11,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeRange.java,53,42,35,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeRow.java,67,56,49,1,8,1,3,21,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeSlider.java,54,42,35,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeSlidingPanels.java,46,32,25,1,11,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeSmartWizard.java,151,116,105,4,29,0,6,28,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeSwitch.java,65,54,47,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeTable.java,204,152,134,6,33,8,19,74,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeTabs.java,59,48,41,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeTimeline.java,89,65,49,5,18,0,6,40,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeToast.java,73,60,50,3,10,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeTreeTable.java,148,114,89,9,25,0,9,60,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeUpload.java,94,82,75,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\TOTP.java,178,78,46,9,27,0,73,390,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\UAgentInfo.java,1257,698,423,335,140,57,419,2606,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\Utilities.java,1211,769,602,142,117,10,325,1334,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ZAbstractDesignerDefinition.java,430,124,87,33,19,6,287,809,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ZAbstractDesignerProperty.java,182,63,50,10,13,0,106,307,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JS.java,7736,6464,5361,1221,267,288,1005,5171,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSExtractLine.java,17,11,9,0,6,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSExtractResultMethod.java,61,47,38,5,13,0,1,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSExtractVariable.java,221,185,116,36,14,0,22,51,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSJQuery.java,60,38,25,9,16,0,6,14,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSJQueryElement.java,676,387,253,117,153,0,136,491,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js\B4JSJQueryEvent.java,46,41,40,0,3,0,2,6,0,0
